year,quarter,ceg_label,taxa_de_disponibilidade,taxa_de_despacho,geração_líquida_GWh,geração_bruta_GWh,taxa_de_geração_ACR,taxa_de_geração_ACL,receita_variável_líquida_R$/MWh,cvu_R$/MWh
2023,3,Porto do Itaqui,"1,00","0,00",0,0,"0,00","0,00",N.A,294
2023,2,Porto do Itaqui,"0,99","0,00",0,0,"0,00","0,00",N.A,363
2023,1,Porto do Itaqui,"1,00","0,00",0,0,"0,00","0,00",N.A,462
2022,4,Porto do Itaqui,"1,00","0,00",0,0,"0,00","0,00",0,699
2022,3,Porto do Itaqui,"1,00","0,00",0,0,"0,00","0,00",0,947
2022,2,Porto do Itaqui,"0,94","0,00",3,3,"0,00","1,00",-146,738
2022,1,Porto do Itaqui,"1,00","0,00",0,0,"0,00","0,00",0,461
2021,4,Porto do Itaqui,"0,95","0,73",494,548,"1,00","0,00",538,536
2021,3,Porto do Itaqui,"0,86","0,99",606,683,"1,00","0,00",345,343
2021,2,Porto do Itaqui,"0,77","0,49",308,349,"0,98","0,02",227,229
2021,1,Porto do Itaqui,"0,24","0,25",165,187,"1,00","0,00",178,185
2020,4,Porto do Itaqui,"0,94","0,94",640,700,"0,99","0,01",160,162
2020,3,Porto do Itaqui,"1,00","0,00",0,0,N.A,N.A,N.A,142
2020,2,Porto do Itaqui,"1,00","0,00",0,0,N.A,N.A,N.A,128
2020,1,Porto do Itaqui,"0,96","0,55",367,415,"0,99","0,01",125,122
2019,4,Porto do Itaqui,"0,99","0,97",668,755,"1,00","0,00",134,133
2019,3,Porto do Itaqui,"0,97","0,84",582,657,"1,00","0,00",118,118
2019,2,Porto do Itaqui,"1,00","0,00",0,0,N.A,N.A,N.A,134
2019,1,Porto do Itaqui,"1,00","0,04",27,31,"1,00","0,00",163,150
2018,4,Porto do Itaqui,"1,00","0,35",247,279,N.A,N.A,207,208
2018,3,Porto do Itaqui,"0,81","0,99",559,632,N.A,N.A,198,198
2018,2,Porto do Itaqui,"0,85","0,24",170,193,N.A,N.A,173,176
2018,1,Porto do Itaqui,"1,00","0,08",52,59,N.A,N.A,163,163
2017,4,Porto do Itaqui,"0,99","0,99",683,772,N.A,N.A,159,159
2017,3,Porto do Itaqui,"0,98","0,99",686,775,N.A,N.A,148,145
2017,2,Porto do Itaqui,"0,97","0,16",90,102,N.A,N.A,116,132
2017,1,Porto do Itaqui,"0,88","0,04",21,24,N.A,N.A,129,145
2016,4,Porto do Itaqui,"0,55","0,82",246,280,N.A,N.A,163,143
2016,3,Porto do Itaqui,"0,73","0,89",457,521,N.A,N.A,109,106
2016,2,Porto do Itaqui,"0,71","0,68",416,473,N.A,N.A,103,97
2016,1,Porto do Itaqui,"0,87","0,71",454,516,N.A,N.A,105,102
2023,3,Porto do Pecém II,"1,00","0,00",0,0,"0,00","0,00",N.A,301
2023,2,Porto do Pecém II,"0,99","0,00",0,0,"0,00","0,00",N.A,370
2023,1,Porto do Pecém II,"1,00","0,00",0,0,"0,00","0,00",N.A,469
2022,4,Porto do Pecém II,"1,00","0,00",0,0,"0,00","0,00",0,707
2022,3,Porto do Pecém II,"0,74","0,00",3,3,"0,00","1,00",100,1032
2022,2,Porto do Pecém II,"1,00","0,00",3,3,"0,00","1,00",262,781
2022,1,Porto do Pecém II,"0,99","0,00",0,0,"0,00","0,00",0,468
2021,4,Porto do Pecém II,"1,00","0,71",505,564,"1,00","0,00",568,544
2021,3,Porto do Pecém II,"0,94","0,97",652,731,"1,00","0,00",348,347
2021,2,Porto do Pecém II,"1,00","0,42",299,335,"1,00","0,00",248,237
2021,1,Porto do Pecém II,"0,99","0,54",371,416,"1,00","0,00",202,193
