id,year,quarter,month,ceg_label,group,val_geracao
1,2014,1,1,Fortaleza,Third-part LNG,212426.8
2,2014,1,1,Maranhão IV,Parnaiba Consolidated,247227.73
3,2014,1,1,Maranhão V,Parnaiba Consolidated,243075.57
4,2014,1,1,Nova Venécia 2,Parnaiba Consolidated,118296.32
5,2014,1,1,Parnaíba IV,Parnaiba Consolidated,34599.97
6,2014,1,1,Porto do Itaqui,Coal Consolidated,212021.18
7,2014,1,1,Porto do Pecém II,Coal Consolidated,260167.303
8,2014,1,2,Fortaleza,Third-part LNG,204290.32
9,2014,1,2,Maranhão III,Parnaiba Consolidated,11705.83
10,2014,1,2,Maranhão IV,Parnaiba Consolidated,203027.79
11,2014,1,2,Maranhão V,Parnaiba Consolidated,209151.6
12,2014,1,2,Nova Venécia 2,Parnaiba Consolidated,101597.11
13,2014,1,2,Parnaíba IV,Parnaiba Consolidated,35872.88
14,2014,1,2,Porto do Itaqui,Coal Consolidated,173096.444
15,2014,1,2,Porto do Pecém II,Coal Consolidated,188740.772
16,2014,1,3,Fortaleza,Third-part LNG,212573.36
17,2014,1,3,Maranhão III,Parnaiba Consolidated,8896.38
18,2014,1,3,Maranhão IV,Parnaiba Consolidated,247004.41
19,2014,1,3,Maranhão V,Parnaiba Consolidated,249653.69
20,2014,1,3,Nova Venécia 2,Parnaiba Consolidated,122355.33
21,2014,1,3,Parnaíba IV,Parnaiba Consolidated,40571.88
22,2014,1,3,Porto do Itaqui,Coal Consolidated,194040.67
23,2014,1,3,Porto do Pecém II,Coal Consolidated,262389.43
24,2014,2,4,Fortaleza,Third-part LNG,137992.79
25,2014,2,4,Maranhão III,Parnaiba Consolidated,0.0
26,2014,2,4,Maranhão IV,Parnaiba Consolidated,239572.0
27,2014,2,4,Maranhão V,Parnaiba Consolidated,242610.95
28,2014,2,4,Nova Venécia 2,Parnaiba Consolidated,127241.73
29,2014,2,4,Parnaíba IV,Parnaiba Consolidated,25337.34
30,2014,2,4,Porto do Itaqui,Coal Consolidated,166246.828
31,2014,2,4,Porto do Pecém II,Coal Consolidated,260330.98
32,2014,2,5,Fortaleza,Third-part LNG,237573.1116
33,2014,2,5,Maranhão III,Parnaiba Consolidated,575.6
34,2014,2,5,Maranhão IV,Parnaiba Consolidated,237657.7289
35,2014,2,5,Maranhão V,Parnaiba Consolidated,246169.0065
36,2014,2,5,Nova Venécia 2,Parnaiba Consolidated,66137.6324
37,2014,2,5,Parnaíba IV,Parnaiba Consolidated,17048.7417
38,2014,2,5,Porto do Itaqui,Coal Consolidated,107749.6748
39,2014,2,5,Porto do Pecém II,Coal Consolidated,244257.97
40,2014,2,6,Fortaleza,Third-part LNG,211380.4253
41,2014,2,6,Maranhão III,Parnaiba Consolidated,10302.3514
42,2014,2,6,Maranhão IV,Parnaiba Consolidated,224991.8258
43,2014,2,6,Maranhão V,Parnaiba Consolidated,219797.7061
44,2014,2,6,Nova Venécia 2,Parnaiba Consolidated,72670.8041
45,2014,2,6,Parnaíba IV,Parnaiba Consolidated,31419.5514
46,2014,2,6,Porto do Itaqui,Coal Consolidated,198241.0109
47,2014,2,6,Porto do Pecém II,Coal Consolidated,239720.36
48,2014,3,7,Fortaleza,Third-part LNG,230694.007
49,2014,3,7,Maranhão III,Parnaiba Consolidated,0.0
50,2014,3,7,Maranhão IV,Parnaiba Consolidated,236637.926
51,2014,3,7,Maranhão V,Parnaiba Consolidated,238008.473
52,2014,3,7,Nova Venécia 2,Parnaiba Consolidated,80734.583
53,2014,3,7,Parnaíba IV,Parnaiba Consolidated,37248.765
54,2014,3,7,Porto do Itaqui,Coal Consolidated,247767.599
55,2014,3,7,Porto do Pecém II,Coal Consolidated,243402.16
56,2014,3,8,Fortaleza,Third-part LNG,232691.431
57,2014,3,8,Maranhão III,Parnaiba Consolidated,169.143
58,2014,3,8,Maranhão IV,Parnaiba Consolidated,220561.023
59,2014,3,8,Maranhão V,Parnaiba Consolidated,237068.165
60,2014,3,8,Nova Venécia 2,Parnaiba Consolidated,87329.033
61,2014,3,8,Parnaíba IV,Parnaiba Consolidated,40348.332
62,2014,3,8,Porto do Itaqui,Coal Consolidated,195471.342
63,2014,3,8,Porto do Pecém II,Coal Consolidated,203347.132
64,2014,3,9,Fortaleza,Third-part LNG,227797.75
65,2014,3,9,Maranhão III,Parnaiba Consolidated,14077.264
66,2014,3,9,Maranhão IV,Parnaiba Consolidated,104465.402
67,2014,3,9,Maranhão V,Parnaiba Consolidated,134934.043
68,2014,3,9,Nova Venécia 2,Parnaiba Consolidated,65089.917
69,2014,3,9,Parnaíba IV,Parnaiba Consolidated,24137.001
70,2014,3,9,Porto do Itaqui,Coal Consolidated,237147.684
71,2014,3,9,Porto do Pecém II,Coal Consolidated,170793.58
72,2014,4,10,Fortaleza,Third-part LNG,232372.83
73,2014,4,10,Maranhão III,Parnaiba Consolidated,27325.644
74,2014,4,10,Maranhão IV,Parnaiba Consolidated,216011.36
75,2014,4,10,Maranhão V,Parnaiba Consolidated,222050.481
76,2014,4,10,Nova Venécia 2,Parnaiba Consolidated,43290.36
77,2014,4,10,Parnaíba IV,Parnaiba Consolidated,38514.529
78,2014,4,10,Porto do Itaqui,Coal Consolidated,104570.19
79,2014,4,10,Porto do Pecém II,Coal Consolidated,269263.64
80,2014,4,11,Fortaleza,Third-part LNG,225084.815
81,2014,4,11,Maranhão III,Parnaiba Consolidated,108603.027
82,2014,4,11,Maranhão IV,Parnaiba Consolidated,200322.222
83,2014,4,11,Maranhão V,Parnaiba Consolidated,192220.042
84,2014,4,11,Nova Venécia 2,Parnaiba Consolidated,61794.321
85,2014,4,11,Parnaíba IV,Parnaiba Consolidated,35999.482
86,2014,4,11,Porto do Itaqui,Coal Consolidated,216165.4
87,2014,4,11,Porto do Pecém II,Coal Consolidated,264835.19
88,2014,4,12,Fortaleza,Third-part LNG,229091.952
89,2014,4,12,Maranhão III,Parnaiba Consolidated,192664.023
90,2014,4,12,Maranhão IV,Parnaiba Consolidated,51139.23
91,2014,4,12,Maranhão V,Parnaiba Consolidated,172353.213
92,2014,4,12,Nova Venécia 2,Parnaiba Consolidated,122972.004
93,2014,4,12,Parnaíba IV,Parnaiba Consolidated,34772.531
94,2014,4,12,Porto do Itaqui,Coal Consolidated,256716.099
95,2014,4,12,Porto do Pecém II,Coal Consolidated,269115.362
96,2015,1,1,Fortaleza,Third-part LNG,221752.99
97,2015,1,1,Maranhão III,Parnaiba Consolidated,216915.783
98,2015,1,1,Maranhão IV,Parnaiba Consolidated,17901.551
99,2015,1,1,Maranhão V,Parnaiba Consolidated,196487.296
100,2015,1,1,Nova Venécia 2,Parnaiba Consolidated,128763.796
101,2015,1,1,Parnaíba IV,Parnaiba Consolidated,26862.204999999998
102,2015,1,1,Porto do Itaqui,Coal Consolidated,245178.485
103,2015,1,1,Porto do Pecém II,Coal Consolidated,269967.474
104,2015,1,2,Fortaleza,Third-part LNG,208195.445
105,2015,1,2,Maranhão III,Parnaiba Consolidated,182594.733
106,2015,1,2,Maranhão IV,Parnaiba Consolidated,78619.7
107,2015,1,2,Maranhão V,Parnaiba Consolidated,126478.875
108,2015,1,2,Nova Venécia 2,Parnaiba Consolidated,115236.138
109,2015,1,2,Parnaíba IV,Parnaiba Consolidated,26709.46
110,2015,1,2,Porto do Itaqui,Coal Consolidated,233155.642
111,2015,1,2,Porto do Pecém II,Coal Consolidated,232091.617
112,2015,1,3,Fortaleza,Third-part LNG,218504.07
113,2015,1,3,Maranhão III,Parnaiba Consolidated,160408.947
114,2015,1,3,Maranhão IV,Parnaiba Consolidated,129177.492
115,2015,1,3,Maranhão V,Parnaiba Consolidated,130029.576
116,2015,1,3,Nova Venécia 2,Parnaiba Consolidated,120028.79
117,2015,1,3,Parnaíba IV,Parnaiba Consolidated,33138.083
118,2015,1,3,Porto do Itaqui,Coal Consolidated,204973.7008
119,2015,1,3,Porto do Pecém II,Coal Consolidated,194637.41
120,2015,2,4,Fortaleza,Third-part LNG,206939.116
121,2015,2,4,Maranhão III,Parnaiba Consolidated,154172.338
122,2015,2,4,Maranhão IV,Parnaiba Consolidated,86733.231
123,2015,2,4,Maranhão V,Parnaiba Consolidated,80835.359
124,2015,2,4,Nova Venécia 2,Parnaiba Consolidated,46616.79
125,2015,2,4,Parnaíba IV,Parnaiba Consolidated,36012.765
126,2015,2,4,Porto do Itaqui,Coal Consolidated,226646.96600000001
127,2015,2,4,Porto do Pecém II,Coal Consolidated,99912.33
128,2015,2,5,Fortaleza,Third-part LNG,95161.87299999999
129,2015,2,5,Maranhão III,Parnaiba Consolidated,101754.264
130,2015,2,5,Maranhão IV,Parnaiba Consolidated,83356.681
131,2015,2,5,Maranhão V,Parnaiba Consolidated,90611.381
132,2015,2,5,Nova Venécia 2,Parnaiba Consolidated,5313.517
133,2015,2,5,Parnaíba IV,Parnaiba Consolidated,31840.879
134,2015,2,5,Porto do Itaqui,Coal Consolidated,52956.417
135,2015,2,5,Porto do Pecém II,Coal Consolidated,77391.45
136,2015,2,6,Fortaleza,Third-part LNG,155962.188
137,2015,2,6,Maranhão III,Parnaiba Consolidated,240512.193
138,2015,2,6,Maranhão IV,Parnaiba Consolidated,77721.556
139,2015,2,6,Maranhão V,Parnaiba Consolidated,90058.916
140,2015,2,6,Nova Venécia 2,Parnaiba Consolidated,114183.325
141,2015,2,6,Parnaíba IV,Parnaiba Consolidated,35603.066
142,2015,2,6,Porto do Itaqui,Coal Consolidated,145354.59
143,2015,2,6,Porto do Pecém II,Coal Consolidated,237576.71
144,2015,3,7,Fortaleza,Third-part LNG,174678.365
145,2015,3,7,Maranhão III,Parnaiba Consolidated,101746.337
146,2015,3,7,Maranhão IV,Parnaiba Consolidated,112307.412
147,2015,3,7,Maranhão V,Parnaiba Consolidated,91821.87
148,2015,3,7,Nova Venécia 2,Parnaiba Consolidated,95837.192
149,2015,3,7,Parnaíba IV,Parnaiba Consolidated,36674.269
150,2015,3,7,Porto do Itaqui,Coal Consolidated,226399.901
151,2015,3,7,Porto do Pecém II,Coal Consolidated,255718.88
152,2015,3,8,Fortaleza,Third-part LNG,214351.49
153,2015,3,8,Maranhão III,Parnaiba Consolidated,206868.993
154,2015,3,8,Maranhão IV,Parnaiba Consolidated,75938.211
155,2015,3,8,Maranhão V,Parnaiba Consolidated,128400.939
156,2015,3,8,Nova Venécia 2,Parnaiba Consolidated,77519.347
157,2015,3,8,Parnaíba IV,Parnaiba Consolidated,40835.927
158,2015,3,8,Porto do Itaqui,Coal Consolidated,238574.607
159,2015,3,8,Porto do Pecém II,Coal Consolidated,247334.735
160,2015,3,9,Fortaleza,Third-part LNG,236594.005
161,2015,3,9,Maranhão III,Parnaiba Consolidated,256125.545
162,2015,3,9,Maranhão IV,Parnaiba Consolidated,107598.16
163,2015,3,9,Maranhão V,Parnaiba Consolidated,25628.344
164,2015,3,9,Nova Venécia 2,Parnaiba Consolidated,80739.428
165,2015,3,9,Parnaíba IV,Parnaiba Consolidated,30212.0
166,2015,3,9,Porto do Itaqui,Coal Consolidated,222983.652
167,2015,3,9,Porto do Pecém II,Coal Consolidated,200376.563
168,2015,4,10,Fortaleza,Third-part LNG,244040.228
169,2015,4,10,Maranhão III,Parnaiba Consolidated,359032.123
170,2015,4,10,Maranhão IV,Parnaiba Consolidated,120422.954
171,2015,4,10,Maranhão V,Parnaiba Consolidated,0.0
172,2015,4,10,Nova Venécia 2,Parnaiba Consolidated,120602.124
173,2015,4,10,Parnaíba IV,Parnaiba Consolidated,35551.469
174,2015,4,10,Porto do Itaqui,Coal Consolidated,135333.273
175,2015,4,10,Porto do Pecém II,Coal Consolidated,268485.55
176,2015,4,11,Fortaleza,Third-part LNG,236116.827
177,2015,4,11,Maranhão III,Parnaiba Consolidated,274578.308
178,2015,4,11,Maranhão IV,Parnaiba Consolidated,139036.782
179,2015,4,11,Maranhão V,Parnaiba Consolidated,44206.132
180,2015,4,11,Nova Venécia 2,Parnaiba Consolidated,95447.434
181,2015,4,11,Parnaíba IV,Parnaiba Consolidated,37929.751
182,2015,4,11,Porto do Itaqui,Coal Consolidated,202999.662
183,2015,4,11,Porto do Pecém II,Coal Consolidated,213676.231
184,2015,4,12,Fortaleza,Third-part LNG,242126.374
185,2015,4,12,Maranhão III,Parnaiba Consolidated,346484.189
186,2015,4,12,Maranhão IV,Parnaiba Consolidated,118539.643
187,2015,4,12,Maranhão V,Parnaiba Consolidated,2878.2799999999997
188,2015,4,12,Nova Venécia 2,Parnaiba Consolidated,120518.081
189,2015,4,12,Parnaíba IV,Parnaiba Consolidated,37068.742
190,2015,4,12,Porto do Itaqui,Coal Consolidated,264826.959
191,2015,4,12,Porto do Pecém II,Coal Consolidated,267671.92
192,2016,1,1,Fortaleza,Third-part LNG,235780.001
193,2016,1,1,Maranhão III,Parnaiba Consolidated,343044.412
194,2016,1,1,Maranhão IV,Parnaiba Consolidated,93618.699
195,2016,1,1,Maranhão V,Parnaiba Consolidated,15462.911
196,2016,1,1,Nova Venécia 2,Parnaiba Consolidated,101804.628
197,2016,1,1,Parnaíba IV,Parnaiba Consolidated,30847.327
198,2016,1,1,Porto do Itaqui,Coal Consolidated,138860.647
199,2016,1,1,Porto do Pecém II,Coal Consolidated,248317.738
200,2016,1,2,Fortaleza,Third-part LNG,183650.415
201,2016,1,2,Maranhão III,Parnaiba Consolidated,186514.711
202,2016,1,2,Maranhão IV,Parnaiba Consolidated,99940.735
203,2016,1,2,Maranhão V,Parnaiba Consolidated,22078.363
204,2016,1,2,Nova Venécia 2,Parnaiba Consolidated,72130.803
205,2016,1,2,Parnaíba IV,Parnaiba Consolidated,25177.256
206,2016,1,2,Porto do Itaqui,Coal Consolidated,210415.302
207,2016,1,2,Porto do Pecém II,Coal Consolidated,176639.445
208,2016,1,3,Fortaleza,Third-part LNG,196519.02
209,2016,1,3,Maranhão III,Parnaiba Consolidated,240407.867
210,2016,1,3,Maranhão IV,Parnaiba Consolidated,71795.719
211,2016,1,3,Maranhão V,Parnaiba Consolidated,1663.983
212,2016,1,3,Nova Venécia 2,Parnaiba Consolidated,68100.682
213,2016,1,3,Parnaíba IV,Parnaiba Consolidated,8671.294
214,2016,1,3,Porto do Itaqui,Coal Consolidated,165368.151
215,2016,1,3,Porto do Pecém II,Coal Consolidated,239056.181
216,2016,2,4,Fortaleza,Third-part LNG,155704.91
217,2016,2,4,Maranhão III,Parnaiba Consolidated,227273.627
218,2016,2,4,Maranhão IV,Parnaiba Consolidated,72651.602
219,2016,2,4,Maranhão V,Parnaiba Consolidated,0.0
220,2016,2,4,Nova Venécia 2,Parnaiba Consolidated,56371.13
221,2016,2,4,Parnaíba IV,Parnaiba Consolidated,13641.17
222,2016,2,4,Porto do Itaqui,Coal Consolidated,152221.062
223,2016,2,4,Porto do Pecém II,Coal Consolidated,181242.19
224,2016,2,5,Fortaleza,Third-part LNG,57759.969
225,2016,2,5,Maranhão III,Parnaiba Consolidated,87540.756
226,2016,2,5,Maranhão IV,Parnaiba Consolidated,183609.481
227,2016,2,5,Maranhão V,Parnaiba Consolidated,167885.934
228,2016,2,5,Nova Venécia 2,Parnaiba Consolidated,24216.071
229,2016,2,5,Parnaíba IV,Parnaiba Consolidated,29664.429
230,2016,2,5,Porto do Itaqui,Coal Consolidated,38250.987
231,2016,2,5,Porto do Pecém II,Coal Consolidated,262821.897
232,2016,2,6,Fortaleza,Third-part LNG,146290.491
233,2016,2,6,Maranhão III,Parnaiba Consolidated,298426.299
234,2016,2,6,Maranhão IV,Parnaiba Consolidated,141335.531
235,2016,2,6,Maranhão V,Parnaiba Consolidated,41877.599
236,2016,2,6,Nova Venécia 2,Parnaiba Consolidated,94870.314
237,2016,2,6,Parnaíba IV,Parnaiba Consolidated,34050.137
238,2016,2,6,Porto do Itaqui,Coal Consolidated,230485.098
239,2016,2,6,Porto do Pecém II,Coal Consolidated,195190.41
240,2016,3,7,Fortaleza,Third-part LNG,98859.875
241,2016,3,7,Maranhão III,Parnaiba Consolidated,366236.8
242,2016,3,7,Maranhão IV,Parnaiba Consolidated,202439.472
243,2016,3,7,Maranhão V,Parnaiba Consolidated,205845.097
244,2016,3,7,Nova Venécia 2,Parnaiba Consolidated,74784.182
245,2016,3,7,Parnaíba IV,Parnaiba Consolidated,32636.482
246,2016,3,7,Porto do Itaqui,Coal Consolidated,194123.529
247,2016,3,7,Porto do Pecém II,Coal Consolidated,192979.38
248,2016,3,8,Fortaleza,Third-part LNG,57735.468
249,2016,3,8,Maranhão III,Parnaiba Consolidated,367989.432
250,2016,3,8,Maranhão IV,Parnaiba Consolidated,209940.627
251,2016,3,8,Maranhão V,Parnaiba Consolidated,210966.687
252,2016,3,8,Nova Venécia 2,Parnaiba Consolidated,48044.706
253,2016,3,8,Parnaíba IV,Parnaiba Consolidated,32261.532
254,2016,3,8,Porto do Itaqui,Coal Consolidated,222108.33
255,2016,3,8,Porto do Pecém II,Coal Consolidated,135450.34
256,2016,3,9,Fortaleza,Third-part LNG,89375.601
257,2016,3,9,Maranhão III,Parnaiba Consolidated,348772.351
258,2016,3,9,Maranhão IV,Parnaiba Consolidated,130290.86
259,2016,3,9,Maranhão V,Parnaiba Consolidated,131230.097
260,2016,3,9,Nova Venécia 2,Parnaiba Consolidated,53621.214
261,2016,3,9,Parnaíba IV,Parnaiba Consolidated,2282.758
262,2016,3,9,Porto do Itaqui,Coal Consolidated,110630.149
263,2016,3,9,Porto do Pecém II,Coal Consolidated,82460.49
264,2016,4,10,Fortaleza,Third-part LNG,121180.793
265,2016,4,10,Maranhão III,Parnaiba Consolidated,352143.3644
266,2016,4,10,Maranhão IV,Parnaiba Consolidated,238307.087
267,2016,4,10,Maranhão V,Parnaiba Consolidated,239446.289
268,2016,4,10,Nova Venécia 2,Parnaiba Consolidated,119173.0998
269,2016,4,10,Parnaíba IV,Parnaiba Consolidated,0.0
270,2016,4,10,Porto do Itaqui,Coal Consolidated,0.0
