quarter,year,Sum of Quarterly production
1,2014,2030791.009
2,2014,1877298.7837
3,2014,2090846.783
4,2014,2176502.0200000005
1,2015,2115166.5818000003
2,2015,1401358.35
3,2015,2124734.394
4,2015,2185826.986
1,2016,1859302.777
2,2016,1497322.75
3,2016,1250903.934
4,2016,886863.1499999999
1,2017,1211931.459
2,2017,1308440.594
3,2017,1830277.775
4,2017,1770791.619
1,2018,1100387.005
2,2018,731284.1299999999
3,2018,1466142.424
4,2018,666080.741
1,2019,593743.655
2,2019,409735.93700000003
3,2019,1454305.035
4,2019,2009251.327
1,2020,1417595.731
2,2020,513209.19000000006
3,2020,198294.52900000004
4,2020,1478231.7170000002
1,2021,1026538.3089999999
2,2021,752163.817
3,2021,3700009.874
4,2021,3719316.9460000005
1,2022,831415.2239999999
2,2022,134020.056
3,2022,207860.89899999998
4,2022,411709.87
1,2023,280157.027
2,2023,479067.398
3,2023,248801.925
4,2023,661421.2069999999
